Id,ActivityHour,totalSteps,Calories,TotalIntensity,AverageIntensity
5577150313,2016-03-12 06:00:00,3416,418,113,1.883333
8053475328,2016-04-05 18:00:00,4655,418,116,1.933333
5577150313,2016-03-25 19:00:00,2385,416,115,1.916667
7007744171,2016-04-08 08:00:00,5651,415,166,2.766667
8877689391,2016-03-22 17:00:00,3366,415,118,1.966667
2873212765,2016-03-18 16:00:00,4362,414,148,2.466667
5577150313,2016-03-17 06:00:00,1882,414,102,1.7
4020332650,2016-03-16 20:00:00,2944,412,95,1.583333
2022484408,2016-04-09 07:00:00,5660,411,112,1.866667
8053475328,2016-03-21 20:00:00,4364,411,107,1.783333
5577150313,2016-03-26 10:00:00,1363,410,111,1.85
8053475328,2016-03-17 18:00:00,4596,410,116,1.933333
8877689391,2016-03-30 19:00:00,621,410,114,1.9
5577150313,2016-04-02 10:00:00,1957,409,121,2.016667
8378563200,2016-03-28 08:00:00,3707,409,104,1.733333
5577150313,2016-03-19 20:00:00,1412,408,116,1.933333
8053475328,2016-03-23 19:00:00,4337,408,101,1.683333
8053475328,2016-03-26 14:00:00,4365,408,111,1.85
8053475328,2016-03-17 15:00:00,4759,408,128,2.133333
1927972279,2016-03-18 16:00:00,3925,407,119,1.983333
2022484408,2016-03-15 10:00:00,1398,407,124,2.066667
5577150313,2016-03-25 06:00:00,1665,407,108,1.8
2022484408,2016-03-12 08:00:00,4781,406,115,1.916667
2022484408,2016-03-31 09:00:00,5413,406,110,1.833333
8053475328,2016-03-28 14:00:00,4259,406,101,1.683333
8053475328,2016-03-12 14:00:00,4345,405,102,1.7
5577150313,2016-03-13 13:00:00,1890,404,107,1.783333
6290855005,2016-03-12 10:00:00,2511,404,80,1.333333
7086361926,2016-03-14 17:00:00,1042,404,141,2.35
8053475328,2016-03-14 14:00:00,4679,403,119,1.983333
8053475328,2016-04-08 20:00:00,4262,403,103,1.716667
8053475328,2016-03-16 14:00:00,4380,403,113,1.883333
1644430081,2016-04-08 19:00:00,4009,402,110,1.833333
7086361926,2016-04-11 17:00:00,1205,402,142,2.366667
8053475328,2016-03-19 20:00:00,4330,402,103,1.716667
8378563200,2016-03-29 08:00:00,3574,402,103,1.716667
1927972279,2016-03-30 15:00:00,3875,401,118,1.966667
7007744171,2016-04-04 08:00:00,5770,401,166,2.766667
8877689391,2016-04-08 17:00:00,2530,401,82,1.366667
2022484408,2016-04-11 09:00:00,1610,400,134,2.233333
4020332650,2016-03-31 12:00:00,2659,400,110,1.833333
5577150313,2016-03-30 06:00:00,1738,399,115,1.916667
8877689391,2016-04-07 20:00:00,3752,399,101,1.683333
8877689391,2016-03-24 16:00:00,4109,398,113,1.883333
5577150313,2016-04-05 19:00:00,1176,397,107,1.783333
8053475328,2016-04-05 13:00:00,4370,397,108,1.8
8877689391,2016-03-15 12:00:00,4168,397,112,1.866667
1644430081,2016-03-27 14:00:00,3825,396,109,1.816667
5577150313,2016-03-28 19:00:00,757,396,92,1.533333
8053475328,2016-03-22 14:00:00,4294,396,107,1.783333
8053475328,2016-03-14 20:00:00,4572,396,117,1.95
8053475328,2016-03-21 14:00:00,4318,395,105,1.75
8053475328,2016-03-22 19:00:00,4301,395,110,1.833333
8053475328,2016-04-09 14:00:00,4160,395,97,1.616667
5577150313,2016-03-12 09:00:00,2341,394,121,2.016667
5577150313,2016-03-18 19:00:00,1093,394,113,1.883333
7086361926,2016-03-15 17:00:00,1277,394,121,2.016667
8877689391,2016-04-01 12:00:00,3422,394,91,1.516667
7086361926,2016-04-08 17:00:00,1553,393,130,2.166667
8053475328,2016-03-28 19:00:00,4296,393,108,1.8
6391747486,2016-04-02 12:00:00,1651,392,108,1.8
8053475328,2016-03-18 18:00:00,4555,392,118,1.966667
2022484408,2016-03-29 09:00:00,5193,391,109,1.816667
7007744171,2016-04-01 08:00:00,5583,391,164,2.733333
5577150313,2016-04-04 06:00:00,1696,389,105,1.75
5577150313,2016-03-31 15:00:00,1158,389,106,1.766667
7007744171,2016-04-03 08:00:00,4504,389,148,2.466667
5577150313,2016-03-12 13:00:00,1934,388,101,1.683333
5577150313,2016-03-14 13:00:00,2133,388,105,1.75
8053475328,2016-04-04 13:00:00,4196,388,100,1.666667
6775888955,2016-03-20 19:00:00,2976,387,116,1.933333
6117666160,2016-03-25 12:00:00,4237,386,122,2.033333
1644430081,2016-03-30 19:00:00,3758,385,109,1.816667
5577150313,2016-03-31 14:00:00,2661,385,110,1.833333
2022484408,2016-04-08 09:00:00,4934,384,136,2.266667
8053475328,2016-03-15 13:00:00,4407,384,119,1.983333
5577150313,2016-04-06 14:00:00,2610,381,114,1.9
6775888955,2016-04-05 17:00:00,251,381,102,1.7
8053475328,2016-04-05 19:00:00,4159,381,103,1.716667
1644430081,2016-04-03 14:00:00,3746,380,95,1.583333
1927972279,2016-03-27 14:00:00,3735,380,114,1.9
7007744171,2016-04-06 08:00:00,5318,380,158,2.633333
8877689391,2016-03-16 19:00:00,3248,380,75,1.25
6290855005,2016-03-22 10:00:00,1374,379,75,1.25
8378563200,2016-04-04 12:00:00,3235,379,101,1.683333
1644430081,2016-04-06 19:00:00,3627,378,105,1.75
2347167796,2016-03-20 08:00:00,6114,378,153,2.55
1927972279,2016-03-22 11:00:00,3613,377,109,1.816667
2022484408,2016-04-07 09:00:00,4868,375,107,1.783333
5577150313,2016-03-23 16:00:00,1661,373,69,1.15
5577150313,2016-03-17 15:00:00,2047,373,107,1.783333
6775888955,2016-03-28 13:00:00,2533,373,98,1.633333
7007744171,2016-03-25 08:00:00,4219,373,128,2.133333
6775888955,2016-03-28 12:00:00,2611,372,114,1.9
5577150313,2016-04-07 06:00:00,1486,371,104,1.733333
1644430081,2016-04-03 13:00:00,3476,370,86,1.433333
5577150313,2016-03-26 09:00:00,2064,370,92,1.533333
6775888955,2016-04-05 18:00:00,703,370,112,1.866667
1644430081,2016-04-02 21:00:00,3494,369,106,1.766667
2022484408,2016-04-12 10:00:00,5243,369,143,2.383333
5577150313,2016-04-01 06:00:00,1713,369,97,1.616667
8053475328,2016-03-20 20:00:00,4245,369,107,1.783333
8877689391,2016-03-18 18:00:00,3168,368,68,1.133333
7007744171,2016-03-17 21:00:00,54,366,101,1.683333
7007744171,2016-03-20 09:00:00,3970,366,139,2.316667
8378563200,2016-04-01 11:00:00,3219,366,93,1.55
7007744171,2016-03-20 08:00:00,3728,363,124,2.066667
5577150313,2016-04-09 16:00:00,1552,362,98,1.633333
4445114986,2016-03-17 19:00:00,4327,361,126,2.1
7086361926,2016-03-24 14:00:00,3311,361,123,2.05
4020332650,2016-03-28 18:00:00,211,360,86,1.433333
7086361926,2016-03-15 18:00:00,2568,360,95,1.583333
7086361926,2016-04-04 17:00:00,967,360,115,1.916667
5577150313,2016-04-05 10:00:00,1807,359,64,1.066667
8378563200,2016-03-18 17:00:00,3119,358,96,1.6
8877689391,2016-03-23 19:00:00,3347,358,71,1.183333
1927972279,2016-03-17 12:00:00,3485,357,105,1.75
1927972279,2016-03-31 13:00:00,3496,357,102,1.7
8378563200,2016-03-31 08:00:00,3108,356,88,1.466667
2022484408,2016-04-07 10:00:00,4157,350,103,1.716667
7007744171,2016-03-24 09:00:00,3775,350,113,1.883333
6775888955,2016-04-01 22:00:00,2376,349,100,1.666667
2022484408,2016-03-20 15:00:00,4718,348,146,2.433333
5577150313,2016-03-12 11:00:00,1041,348,99,1.65
8378563200,2016-03-31 12:00:00,3037,348,90,1.5
2022484408,2016-04-04 11:00:00,5742,347,147,2.45
8053475328,2016-03-25 11:00:00,3970,347,106,1.766667
7007744171,2016-03-17 09:00:00,3477,345,114,1.9
8877689391,2016-03-21 12:00:00,3551,345,95,1.583333
7086361926,2016-04-01 13:00:00,4809,344,113,1.883333
8053475328,2016-04-03 21:00:00,3885,344,95,1.583333
5577150313,2016-03-16 14:00:00,1569,342,63,1.05
5577150313,2016-04-09 08:00:00,1628,342,84,1.4
8053475328,2016-03-18 13:00:00,3514,342,85,1.416667
1644430081,2016-04-02 17:00:00,3057,341,96,1.6
1927972279,2016-03-28 14:00:00,3230,341,100,1.666667
5577150313,2016-03-13 12:00:00,1623,341,104,1.733333
7007744171,2016-03-23 08:00:00,3656,339,113,1.883333
8378563200,2016-03-18 15:00:00,2731,338,82,1.366667
1927972279,2016-03-28 20:00:00,3185,337,89,1.483333
2873212765,2016-04-09 07:00:00,3615,337,118,1.966667
8378563200,2016-03-30 09:00:00,2746,337,81,1.35
8877689391,2016-04-02 15:00:00,3374,337,88,1.466667
2347167796,2016-04-02 10:00:00,5386,336,149,2.483333
5577150313,2016-03-12 14:00:00,1359,336,78,1.3
5577150313,2016-03-24 06:00:00,1290,335,91,1.516667
1644430081,2016-04-09 19:00:00,2893,334,85,1.416667
4702921684,2016-03-13 13:00:00,3051,334,94,1.566667
6775888955,2016-03-28 11:00:00,1406,334,91,1.516667
4445114986,2016-03-21 20:00:00,3955,333,109,1.816667
5577150313,2016-03-29 06:00:00,1642,333,87,1.45
6290855005,2016-03-28 12:00:00,4361,333,94,1.566667
8877689391,2016-04-10 15:00:00,1788,333,94,1.566667
6775888955,2016-03-20 20:00:00,1840,332,102,1.7
6962181067,2016-03-31 11:00:00,5529,332,144,2.4
8053475328,2016-03-25 20:00:00,3518,331,85,1.416667
8378563200,2016-04-04 18:00:00,2671,331,75,1.25
